name|team|ip|w|sv|hld|era|whip|so|hr|qs|er|h|bb|hbp|bf
Riley Cornelio|WSH|18.3|2|0|0|5.89|1.85|17|1|0|12|17|17|0|87
Tanner Gordon|COL|58.0|0|0|0|5.9|1.52|53|13|0|38|75|13|2|257
Jameson Taillon|CHC|76.0|2|0|0|5.92|1.36|68|25|4|50|76|27|2|326
Jake Bird|NYY|30.3|1|0|7|5.93|1.55|31|4|0|20|36|11|5|139
Shaun Anderson|LAA|16.7|1|0|0|5.94|1.5|12|3|0|11|17|8|1|73
Carlos Carrasco|ATL|16.7|0|0|0|5.94|1.44|7|3|0|11|21|3|2|73
David Peterson|CHC|89.0|5|1|1|5.97|1.56|74|9|1|59|101|38|3|406
Mike Burrows|HOU|94.7|4|0|0|5.99|1.55|75|21|4|63|112|35|4|423
Jason Foley|SFG|3.0|0|0|0|6.0|0.67|2|1|0|2|2|0|0|11
Alex Lange|KCR|42.0|1|10|1|6.0|1.5|43|4|0|28|40|23|5|188
Brycen Mautz|STL|3.0|0|0|0|6.0|2.0|2|0|0|2|4|2|0|14
Javier Sanoja|MIA|3.0|0|0|0|6.0|1.33|1|0|0|2|3|1|1|14
Chase Solesky|TBR|3.0|0|0|1|6.0|2.33|4|1|0|2|6|1|0|17
Noah Schultz|CHW|56.7|3|0|0|6.04|1.46|49|9|2|38|54|29|6|253
Dennis Santana|PIT|41.7|2|2|5|6.05|1.51|37|8|0|28|42|21|2|186
Luis Gil|NYY|19.3|1|0|0|6.05|1.34|9|6|1|13|15|11|3|85
David Sandlin|CHW|19.3|2|0|0|6.05|1.29|20|4|2|13|15|10|0|80
Geoff Hartlieb|ATH|13.3|1|0|1|6.08|1.95|6|1|0|9|17|9|0|64
Will Vest|DET|26.7|3|2|7|6.08|1.43|27|2|0|18|28|10|2|116
Brandon Williamson|CIN|28.0|2|0|0|6.11|1.64|19|4|1|19|26|20|3|128
Cole Winn|TEX|35.3|5|1|9|6.11|1.36|36|7|0|24|38|10|1|156
Justin Sterner|ATH|42.7|2|1|12|6.12|1.38|40|11|0|29|46|13|0|184
Jacob Lopez|ATH|64.7|5|0|1|6.12|1.67|53|11|0|44|68|40|3|302
Jordan Romano|COL|14.7|0|8|1|6.14|1.84|21|1|0|10|17|10|1|72
José Alvarado|PHI|38.0|3|1|9|6.16|1.58|51|4|0|26|46|14|7|179
Phil Maton|CHC|27.7|0|0|5|6.18|1.81|31|5|0|19|34|16|5|136
Kyle Backhus|PHI|16.0|1|0|1|6.19|1.56|17|3|0|11|22|3|2|75
Jack Kochanowicz|LAA|64.0|2|0|0|6.19|1.58|47|7|5|44|65|36|5|296
Zach McCambley|CIN|4.3|0|0|0|6.23|2.54|4|0|0|3|6|5|1|25
Wyatt Mills|LAD|4.3|0|0|0|6.23|2.31|4|0|0|3|3|7|1|24
Jeffrey Springs|ATH|104.0|3|0|0|6.23|1.45|86|27|4|72|112|39|2|459
Gus Varland|WSH|31.7|1|6|6|6.25|1.77|30|6|0|22|41|15|0|148
Tobias Myers|NYM|46.0|0|1|3|6.26|1.39|33|9|0|32|51|13|0|198
Osvaldo Bido|CHW|18.7|2|1|0|6.27|1.34|11|3|0|13|15|10|4|81
Jordan Leasure|CHW|18.7|2|0|3|6.27|1.23|18|6|0|13|15|8|0|78
