name|barrel_pct|hard_hit_pct|woba|xwoba
Jacob Wilson|2.5|27.6|.301|.282
Otto Kemp|0|13.3|.119|.205
Heriberto Hernández|13.8|47.4|.341|.354
Victor Scott II|1.7|24.4|.252|.277
Jarred Kelenic|19|50|.279|.331
Dillon Dingler|10.3|42.5|.338|.348
Ryan Bliss|0|66.7|.159|.270
Nick Castellanos|8.4|37.3|.239|.285
Jake Cronenworth|3.1|29.5|.273|.273
Tyler Soderstrom|9.5|45.4|.350|.327
Ben Malgeri|5.5|43.6|.329|.315
Zach Dezenzo|9.1|31.8|.262|.249
Andrew Velazquez|0|23.1|.059|.160
Jared Triolo|2.6|34.2|.287|.289
Dylan Carlson|0|0|.000|.070
Samuel Basallo|12.7|43|.314|.322
Lucas Spence|4.5|40.9|.208|.236
Jose Fernandez|4|38.7|.294|.285
Jonathan Ornelas|0|50|.194|.178
Tyler Locklear|14.3|32.1|.350|.334
Ian Happ|11.3|41.3|.326|.311
Josh Rojas|1.3|29.5|.285|.221
Turner Hill|5|37.5|.369|.365
Raynel Delgado|3.2|32.3|.291|.265
Anthony Seigler|5.6|34.7|.325|.316
Davis Schneider|10.4|42.6|.269|.275
Justin Dean|0|50|.477|.346
Deyvison De Los Santos|16.7|16.7|.338|.214
Christian Franklin|13.6|45.5|.258|.306
Giancarlo Stanton|18|44.3|.316|.326
Ty France|9.5|47.9|.375|.330
Gabriel Arias|10.3|42.3|.284|.274
Jake Mangum|2|27.5|.321|.284
Kyle Schwarber|16.9|49.5|.372|.362
Jared Serna|0|75|.318|.328
Nick Madrigal|0|24.4|.321|.298
Max Muncy|10.7|42.3|.288|.284
Ryan Vilade|7.5|40.9|.344|.337
Kameron Misner|0|20|.228|.209
Roman Anthony|10.9|50.5|.353|.366
Julio Rodríguez|9.3|43.3|.310|.338
Harry Ford|9.4|30.2|.312|.273
Gary Sánchez|8.7|36|.343|.341
Lawrence Butler|7.6|46.7|.312|.321
Drew Romo|6|26.3|.241|.262
Kyle Teel|11.1|50|.267|.302
